$,maintenance check indicator
A/A,air-to-air
A/G,air-to-ground
A01,station without a precipitation discriminator
A02,station with a precipitation discriminator
AAF,Army Air Field
AAL,above aerodrome level
AAS,airport advisory service
AATM,at all times
AAWF,auxiliary aviation weather facility
AB,airbase
ABD,aboard
ABM,abeam
ABN,airport beacon
ABNDT,abundant
ABNML,abnormal
ABT,about
ABTMT,abatement
ABV,above
AC,altocumulus/air carrier
ACA,Arctic Control Area
ACARS,Aircraft Communication Addressing & Reporting System
ACAS,Airborne Collision Avoidance System
ACC,altocumulus castellanus/air control center
ACCAS,altocumulus castellanus
ACCUM,accumulate
ACFT,aircraft
ACK,acknowledge
ACL,altimeter check location
ACLD,above clouds
ACLT,accelerate
ACN,aircraft classification number
ACPT,accept
ACR,air carrier
ACRBT,acrobatic
ACRS,across
ACSL,standing lenticular altocumulus
ACT,active/activated/activity
ACTG,acting
ACTV,active
ACTVT,activate
ACTVTD,activated
ACYC,anticyclonic
AD,aerodrome
ADA,advisory area
ADDN,addition
ADF,Automatic Direction Finder
ADIZ,Air Defense Identification Zone
ADJ,adjacent
ADQT,adequate
ADR,Advisory Route
ADRNDCK,adirondack
ADV,advise
ADVCTN,advection
ADVN,advance
ADVY,advisory
ADVZD,advized
ADVZY,advisory
ADZD,advized
AEIS,Aeronautical Enroute Information Service
AER,approach end runway
AERADIO,air radio
AERO,aerodrome
AFB,Air Force Base
AFC,area forecast center
AFCT,affect
AFD,Airport/Facility Directory
AFDK,after dark
AFIS,Airport Flight Information Service
AFN,American Forces Network
AFRS,Armed Forces Radio Stations
AFSS,Automated Flight Service Station
AFT,after
AFTN,afternoon
AGL,above ground level
AH,alert height
AHD,ahead
AIM,Aeronautical Information Manual
AIREPS,aircraft reports
AIRMET,Airmen's Meteorological Information
ALA,authorized landing area
ALF,aloft/auxiliary landing field
ALG,along
ALGHNY,Allegheny
ALNMT,alignment
ALP,aircraft location point
ALQDS,all quadrants
ALQS,all quadrants
ALS,Approach Light System
ALSEC,all sectors
ALSF-1,standard 2400' high-intensity approach lighting system with sequenced flashers (Category I configuration)
ALSF-2,standard 2400' high-intensity approach lighting system with sequenced flashers (Category II configuration)
ALSTG,altimeter setting
ALT,altitude
ALTA,Alberta
ALTM,altimeter
ALTN,alternate
ALTNLY,alternately
ALUTN,Aleutian
ALWF,actual wind factor
AM,ante meridiem
AMA,Area Minimum Altitude
AMB,amber
AMD,amended
AMDT,amendment
AMGR,airport manager
AMOS,Automatic Meteorological Observing System
AMS,air mass
AMSL,above mean sea level
ANAPROP,anomalous propagation
ANCPT,anticipate
AND,and
ANGB,Air National Guard Base
ANLYS,analysis
AO1,station without a precipitation discriminator
AO2,station with a precipitation discriminator
AOA,at or above
AOB,at or below
AOE,airport of entry
AP LGT,airport lights
AP,airport
APAPI,Abbreviated Precision Approach Path Indicator
APC,Area Positive Control
APCH,approach
APL,airport lights
APLCN,Appalachian
APN,Apron
APP,Approach Control
APRNT,apparent
APROP,appropriate
APRX,approximately
APT,airport
ARB,Air Reserve Base
ARFF,Aircraft Rescue & Fire Fighting
ARFOR,area forecast
ARINC,Aeronautical Radio, Inc.
ARND,around
ARO,Airport Reporting Officer
ARPT,airport
ARR,arrival
ARTC,Air Route Traffic Control
ARTCC,Air Route Traffic Control Center
AS,altostratus
ASAP,as soon as possible
ASDA,accelerate-stop distance available
ASDAR,aircraft to satellite data relay
ASL,above sea level
ASOS,Automated Surface Observing System
ASPH,asphalt
ASR,Airport Surveillance Radar
ASSOCD,associated
ATA,actual time of arrival
ATC,Air Traffic Control
ATCAA,Air Traffic Control Assigned Airspace
ATCC,Air Traffic Control Center
ATCSCC,Air Traffic Control System Command Center
ATCT,Air Traffic Control Tower
ATD,actual time of departure
ATF,airport traffic frequency
ATFM,air traffic flow management
ATIS,Automatic Terminal Information Service
ATLC,Atlantic
ATS,Air Traffic Service
ATZ,airport traffic zone
AURBO,Aurora Borealis
AUTH,authorized
AUTO,automated report
AUW,all-up weight
AUX,auxiliary
AVBL,available
AVG,average
AVGAS,aviation gasoline
AWIB,Airport Weather Information Broadcast
AWOS,Automatic Weather Observing System
AWP,aviation weather processors
AWS,automatic weather station
AWY,airway
AZM,azimuth
B,began
BA,braking action
BACLIN,Baroclinic
BAJA,Baja California
BATROP,Barotropic
BC,British Columbia
BCH,beach
BCKG,backing
BCM,become
BCMG,becoming
BCMS,becomes
BCOB,broken clouds or better
BCST,broadcast
BD,blowing dust
BDA,Bermuda
BDRY,boundary
BECMG,becoming
BERM,snowbank(s) containing earth/gravel
BFDK,before dark
BFR,before
BGN,begin
BGNG,beginning
BGNS,begins
BHND,behind
BINOVC,breaks in overcast
BKN,broken
BL,between layers
BLD,build
BLDG,building
BLDS,builds
BLDUP,buildup
BLKHLS,Black Hills
BLKT,blanket
BLKTG,blanketing
BLKTS,blankets
BLO,below
BLU,blue
BLW,below
BLZD,blizzard
BM,back marker
